GSWA_sample_id,GSWA_geochron_id,analytical_spot_id,age_Ma,area,equivalent_diameter,perimeter,minor_axis_length,major_axis_length,solidity,convex_area,form_factor,roundness,compactness,aspect_ratio,minimum_Feret,maximum_Feret,U238_ppm,Th232_ppm,groupno,P2O5_pct,SiO2_pct,Zr_ppm,oscillatory_zonation,sector_zonation,homogenous_zonation
88411,88411.1,,1795,9059.63,107.4,413.73,66.73,176.53,0.98,9255.89,0.67,0.37,0.61,2.65,63.51,165.13,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,5831.8,86.17,364.87,48.64,158.16,0.95,6155.7,0.55,0.3,0.54,3.25,48.34,145.46,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,13166.63,129.48,459.19,92.28,183.33,0.99,13340.54,0.78,0.5,0.71,1.99,87.16,180.34,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,11406.71,120.51,437.01,87.96,166.92,0.98,11662.01,0.75,0.52,0.72,1.9,84.63,165.96,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,6728.51,92.56,323.76,76.23,113.21,0.97,6947.1,0.81,0.67,0.82,1.49,77.05,117.69,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,12635.3,126.84,506.27,74.9,220.16,0.96,13118.76,0.62,0.33,0.58,2.94,71.42,208.67,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,15.1,1795,14159.07,134.27,477.33,101.86,178.35,0.98,14457.44,0.78,0.57,0.75,1.75,103.58,183.68,156,121,I,0.168,66.718,160.9,1,0,0
88411,88411.1,16.1,1795,7215.16,95.85,348.1,70.7,130.82,0.97,7441.73,0.75,0.54,0.73,1.85,69.47,134.5,140,77,I,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,16100.88,143.18,489.79,121.13,170.12,0.99,16317.87,0.84,0.71,0.84,1.4,120,178.32,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,12330.55,125.3,455.61,90.07,176.69,0.97,12739.01,0.75,0.5,0.71,1.96,86.12,174.54,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,15382.87,139.95,536.81,90.97,221.15,0.97,15911,0.67,0.4,0.63,2.43,87.7,217.56,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,6993.37,94.36,348.92,62.96,144.26,0.98,7154.53,0.72,0.43,0.65,2.29,60.47,135.51,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,11882.19,123,447.91,90.41,170.22,0.98,12172.59,0.74,0.52,0.72,1.88,86.08,171.08,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,6077.52,87.97,357.06,49.82,159.85,0.97,6284.94,0.6,0.3,0.55,3.21,48,145.99,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,13.1,1795,14374.47,135.29,487.89,95.54,192.85,0.98,14676.03,0.76,0.49,0.7,2.02,93.47,189.39,129,102,I,0.168,66.718,160.9,1,0,0
